joss_id,title,language,dependencies,predicted_categories,ground_truth,reasoning,success,error
4741,activAnalyzer: An R Shiny app to analyse ActiGraph accelerometer data and to implement the use of the PROactive Physical Activity in COPD instruments,R,"['DBI', 'MASS', 'Matrix', 'PhysicalActivity', 'R6', 'RColorBrewer', 'RSQLite', 'Rcpp', 'askpass', 'assertthat', 'attempt', 'backports', 'base64enc', 'bit', 'bit64', 'blob', 'broom', 'bslib', 'cachem', 'callr']","['Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
786,iml: An R package for Interpretable Machine Learning,R,"['ALEPlot', 'Formula', 'MASS', 'Metrics', 'R6', 'bench', 'bit64', 'caret', 'checkmate', 'covr', 'data.table', 'e1071', 'future', 'future.apply', 'future.callr', 'ggplot2', 'glmnet', 'gower', 'h2o', 'keras']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",,True,
1412,insight: A Unified Interface to Access Information from Model Objects in R,R,"['AER', 'BH', 'BayesFactor', 'GLMMadaptive', 'JM', 'MASS', 'MCMCglmm', 'Matrix', 'MuMIn', 'PROreg', 'RWiener', 'Rcpp', 'RcppEigen', 'TMB', 'VGAM', 'WeightIt', 'afex', 'aod', 'ape', 'bayestestR']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",,True,
1247,SkyPortal: An Astronomical Data Platform,Python,"['Pillow', 'PyAstronomy', 'afterglowpy', 'aiosmtpd', 'alembic', 'apispec', 'arviz', 'astroplan', 'astropy', 'astroquery', 'astroscrappy', 'avro-python3', 'black', 'brotli', 'click', 'conesearch-alchemy', 'confluent_kafka', 'corner', 'dask', 'distributed']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",,True,
4987,signnet: An R package for analyzing signed networks,R,"['Matrix', 'ROI', 'ROI.plugin.glpk', 'Rcpp', 'RcppArmadillo', 'covr', 'ggplot2', 'ggraph', 'igraph', 'knitr', 'ompr', 'ompr.roi', 'rmarkdown', 'testthat']","['Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Software Analytics']",,True,
5338,Crowsetta: A Python tool to work with any format for annotating animal vocalizations and bioacoustics data.,Python,"['SoundFile', 'appdirs', 'attrs', 'numpy', 'pandas', 'pandera', 'scipy']","['Data Analytics', 'Ris', 'Software']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software']",,True,
4740,overviewR - Easily Explore Your Data in R,R,"['countrycode', 'covr', 'data.table', 'devtools', 'dplyr', 'ggplot2', 'ggrepel', 'ggvenn', 'knitr', 'magrittr', 'pkgdown', 'rlang', 'rmarkdown', 'spelling', 'testthat', 'tibble', 'tidyr', 'xtable']","['Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software', 'Software Analytics']",,True,
3290,covidregionaldata: Subnational data for COVID-19 epidemiology,R,"['R6', 'RSocrata', 'countrycode', 'dplyr', 'ggplot2', 'ggspatial', 'httr', 'jsonlite', 'knitr', 'lifecycle', 'lubridate', 'memoise', 'mockery', 'purrr', 'readxl', 'rlang', 'rmarkdown', 'rvest', 'rworldmap', 'sf']","['Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",,True,
177,GSODR: Global Summary Daily Weather Data in R,R,"['R.utils', 'bit64', 'countrycode', 'curl', 'data.table', 'dplyr', 'ggplot2', 'gridExtra', 'knitr', 'mapproj', 'maps', 'rmarkdown', 'roxyglobals', 'spelling', 'stats', 'testthat', 'tidyr', 'utils', 'withr']","['Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",,True,
1322,UTDEventData: An R package to access political event data,R,"['countrycode', 'curl', 'jsonlite', 'knitr', 'methods', 'rjson', 'rmarkdown', 'stats']","['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software']",,True,
1169,scikit-posthocs: Pairwise multiple comparison tests in Python,Python,"['coverage', 'matplotlib', 'numpy', 'numpydoc', 'pandas', 'pytest', 'scipy', 'seaborn', 'sphinx_rtd_theme', 'statsmodels']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software Analytics']",,True,
8855,Graphem - JAX: Node Influence Maximization via Geometric Embeddings,Python,"['jax', 'jaxlib', 'line_profiler', 'loguru', 'matplotlib', 'ndlib', 'networkx', 'numpy', 'pandas', 'plotly', 'pyinstrument', 'pytest', 'requests', 'scipy', 'snakeviz', 'sphinx', 'sphinx-autodoc-typehints', 'sphinx_rtd_theme', 'tabulate', 'tensorboard']","['Data Analytics', 'Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
8504,PyBispectra: A toolbox for advanced electrophysiological signal processing using the bispectrum,Python,"['codespell', 'coverage', 'ipykernel', 'ipython', 'ipywidgets', 'isort', 'joblib', 'matplotlib', 'mne', 'notebook', 'numba', 'numpy', 'numpydoc', 'pooch', 'pre-commit', 'pydata-sphinx-theme', 'pydocstyle', 'pytest', 'scikit-learn', 'scipy']","['Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
8456,Gene Fetch: A Python tool for sequence retrieval from GenBank across the tree of life,Python,"['biopython', 'black', 'classifiers', 'click', 'colorama', 'coverage', 'exceptiongroup', 'flake8', 'gene-fetch', 'include', 'iniconfig', 'keywords', 'license', 'mccabe', 'mypy-extensions', 'numpy', 'packages', 'packaging', 'pathspec', 'platformdirs']","['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
8481,Scikit-Longitudinal: A Machine Learning Library for Longitudinal Classification in Python,Python,"['anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'astroid', 'asttokens', 'async-lru', 'attrs', 'babel', 'backrefs', 'beautifulsoup4', 'black', 'bleach', 'cairocffi', 'cairosvg', 'certifi', 'cffi', 'charset-normalizer', 'click']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
8454,SPEI: A Python package for calculating and visualizing drought indices,Python,"['coverage', 'ipykernel', 'matplotlib', 'mypy', 'myst-parser', 'nbsphinx', 'numpy', 'pandas', 'pandas-stubs', 'pastas', 'pytest', 'pytest-cov', 'pytest-sugar', 'rpy2', 'ruff', 'scipy', 'sphinx', 'standard-precip']","['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7471,EcoLogits: Evaluating the Environmental Impacts of Generative AI,Python,"['aiohappyeyeballs', 'aiohttp', 'aiosignal', 'annotated-types', 'anthropic', 'anyio', 'async-timeout', 'attrs', 'babel', 'backrefs', 'cachetools', 'cairocffi', 'cairosvg', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'cohere', 'colorama']","['Data Analytics', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
8061,FRAGMENT-MNP: A model of micro- and nanoplastic fragmentation in the environment,Python,"['Pillow', 'accessible-pygments', 'alabaster', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'asttokens', 'attrs', 'babel', 'beautifulsoup4', 'bleach', 'certifi', 'cffi', 'charset-normalizer', 'click', 'colorama', 'comm', 'contourpy', 'coverage']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7477,VoteKit: A Python package for computational social choice research,Python,"['alabaster', 'annotated-types', 'appnope', 'apportionment', 'asttokens', 'attrs', 'babel', 'beautifulsoup4', 'black', 'bleach', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'colorama', 'comm', 'commonmark', 'contourpy', 'coverage']","['Data Analytics', 'Software', 'Process', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7668,Mesa 3: Agent-based modeling with Python in 2025,Python,"['accessible-pygments', 'alabaster', 'altair', 'anyio', 'appnope', 'asttokens', 'attrs', 'babel', 'beautifulsoup4', 'beniget', 'cachetools', 'certifi', 'cffi', 'charset-normalizer', 'click', 'colorama', 'comm', 'contourpy', 'coverage', 'cycler']","['Data Analytics', 'Modeling And Simulation', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7301,Pooltool: A Python package for realistic billiards simulation,Python,"['Pillow', 'alabaster', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'astroid', 'asttokens', 'async-lru', 'attrs', 'babel', 'beautifulsoup4', 'bleach', 'build', 'cachecontrol', 'cattrs', 'certifi', 'cffi', 'cfgv']","['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7059,Jupyter Scatter: Interactive Exploration of Large-Scale Datasets,Python,"['anyio', 'anywidget', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arro3-core', 'arrow', 'asttokens', 'async-lru', 'attrs', 'babel', 'beautifulsoup4', 'bleach', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'colorama', 'comm', 'contourpy']","['Data Analytics', 'Integrative Analysis', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6169,proteusPy: A Python Package for Protein Structure and Disulfide Bond Modeling and Analysis,Python,"['Bio', 'Biopython', 'Pillow', 'Pympler', 'build', 'colorama', 'coverage', 'darkdetect', 'gdown', 'ipykernel', 'ipywidgets', 'jupyter', 'jupyter_bokeh', 'jupyter_contrib_nbextensions', 'kaleido', 'matplotlib', 'nbconvert', 'networkx', 'notebook', 'numpy']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6802,chemotools: A Python Package that Integrates Chemometrics and scikit-learn,Python,"['accessible-pygments', 'alabaster', 'anyio', 'appnope', 'arrow', 'asttokens', 'attrs', 'babel', 'beautifulsoup4', 'bleach', 'boolean-py', 'certifi', 'cffi', 'chardet', 'charset-normalizer', 'chemotools', 'click', 'colorama', 'comm', 'commitlint']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6830,"sourmash v4: A multitool to quickly search, compare, and analyze genomic and metagenomic data sets",Python,"['Jinja2', 'alabaster', 'bitstring', 'build', 'cachetools', 'cffi', 'covdefaults', 'deprecation', 'diff-cover', 'hypothesis', 'ipfshttpclient', 'ipython', 'jupyter', 'jupyter_client', 'matplotlib', 'myst-parser', 'nbsphinx', 'numpy', 'pytest', 'pytest-cov']","['Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6298,ABSESpy: An agent-based modeling framework for social-ecological systems,Python,"['abses', 'affine', 'allure-pytest', 'allure-python-commons', 'altair', 'antlr4-python3-runtime', 'anyio', 'appdirs', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'astroid', 'asttokens', 'async-lru', 'attrs', 'babel', 'backrefs', 'bandit', 'beautifulsoup4']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6227,Learning from Crowds with Crowd-Kit,Python,"['attrs', 'black', 'build', 'codecov', 'flake8', 'ipywidgets', 'isort', 'mkdocs-material', 'mkdocstrings-python', 'mypy', 'nbqa', 'nltk', 'notebook', 'numpy', 'pandas', 'pandas-stubs', 'pre-commit', 'pyarrow', 'pytest', 'pyupgrade']","['Data Analytics', 'Modeling And Simulation', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6016,HyperNetX: A Python package for modeling complex network data as hypergraphs,Python,"['Babel', 'Jinja2', 'MarkupSafe', 'PyYAML', 'Pygments', 'QtPy', 'Send2Trash', 'Sphinx', 'alabaster', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'astroid', 'asttokens', 'attrs', 'beautifulsoup4', 'black', 'bleach', 'cachetools']","['Data Analytics', 'Software', 'Ui', 'Process', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5959,HW2D: A reference implementation of the Hasegawa-Wakatani model for plasma turbulence in fusion reactors,Python,"['coverage', 'fire', 'h5py', 'matplotlib', 'numba', 'numpy', 'pandas', 'perfplot', 'phiml', 'pre-commit', 'pytest', 'pytest-cov', 'pytest-mock', 'scipy', 'tqdm']","['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5673,PurpleCaffeine: tracking of quantum programs and experiments,Python,"['Django', 'black', 'boto3', 'coverage', 'django-health-check', 'django-nose', 'djangorestframework', 'djangorestframework-simplejwt', 'drf-spectacular', 'gunicorn', 'ipywidgets', 'jupyter', 'matplotlib', 'nbconvert', 'nbformat', 'pandas', 'pillow', 'psycopg2-binary', 'pylatexenc', 'pylint']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5076,Sciris: Simplifying scientific software in Python,Python,"['colorama', 'dask', 'dill', 'gitpython', 'ipykernel', 'jellyfish', 'jsonpickle', 'line_profiler', 'matplotlib', 'memory_profiler', 'multiprocess', 'nbconvert', 'nbsphinx', 'numpy', 'openpyxl', 'packaging', 'pandas', 'pandoc', 'psutil', 'pydata-sphinx-theme']","['Data Analytics', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5255,Bluebonnet: Scaling solutions for production analysis from unconventional oil and gas wells,Python,"['alabaster', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'asteval', 'astroid', 'asttokens', 'async-lru', 'attrs', 'babel', 'beautifulsoup4', 'bleach', 'bluebonnet', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'colorama']","['Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5582,PxMCMC: A Python package for proximal Markov Chain Monte Carlo,Python,"['Cartopy', 'alabaster', 'appdirs', 'astropy', 'attrs', 'babel', 'black', 'cartopy', 'certifi', 'charset-normalizer', 'click', 'colorama', 'contourpy', 'cycler', 'decopatch', 'documentation', 'docutils', 'exceptiongroup', 'flake8', 'fonttools']","['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5593,Pyafscgap.org: Open source multi-modal Python-based tools for NOAA AFSC RACE GAP,Python,"['Cartopy', 'Flask', 'afscgap', 'bokeh', 'boto3', 'build', 'coiled', 'fastavro', 'geolib', 'jupyterlab', 'matplotlib', 'mkdocs', 'mkdocs-windmill', 'mypy', 'nose2', 'notebook', 'pandas', 'pdoc', 'pycodestyle', 'pyflakes']","['Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5092,Fast Resampling and Monte Carlo Methods in Python,Python,"['Cython', 'array-api-strict', 'asv', 'gmpy2', 'hypothesis', 'intersphinx_registry', 'jupyterlite-pyodide-kernel', 'jupyterlite-sphinx', 'jupytext', 'linkify-it-py', 'matplotlib', 'meson', 'mpmath', 'myst-nb', 'ninja', 'numpy', 'numpydoc', 'pooch', 'pydata-sphinx-theme', 'pytest']","['Data Analytics', 'Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
4724,The sspm R package for spatially-explicit surplus production population models,R,"['DBI', 'KernSmooth', 'MASS', 'Matrix', 'R6', 'RColorBrewer', 'RTriangle', 'Rcpp', 'RcppEigen', 'askpass', 'backports', 'base64enc', 'brio', 'bslib', 'cachem', 'callr', 'checkmate', 'class', 'classInt', 'cli']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5269,spgrep: On-the-fly generator of space-group irreducible representations,Python,"['accessible-pygments', 'alabaster', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'asttokens', 'async-lru', 'attrs', 'autopep8', 'babel', 'beautifulsoup4', 'bleach', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'colorama']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5415,xclim: xarray-based climate data analytics,Python,"['boltons', 'bottleneck', 'bump-my-version', 'cairosvg', 'cf-xarray', 'cftime', 'click', 'codespell', 'distributed', 'flox', 'furo', 'ipykernel', 'matplotlib', 'nbsphinx', 'nc-time-axis', 'numbagg', 'pooch', 'pybtex', 'sphinx', 'sphinx-autobuild']","['Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5300,fractopo: A Python package for fracture network analysis,Python,"['anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'asttokens', 'async-lru', 'attrs', 'babel', 'backcall', 'beartype', 'beautifulsoup4', 'bleach', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'codespell', 'cogapp']","['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5149,PyExperimenter: Easily distribute experiments and track results,Python,"['aiofiles', 'aiosqlite', 'alabaster', 'antlr4-python3-runtime', 'anyascii', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'astroid', 'asttokens', 'attrs', 'babel', 'bcrypt', 'beautifulsoup4', 'bleach', 'certifi', 'cffi', 'charset-normalizer']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5126,Openseize: A digital signal processing package for large EEG datasets in Python,Python,"['black', 'bumpver', 'codespell', 'ipython', 'isort', 'matplotlib', 'mkdocs', 'mkdocs-material', 'mypy', 'notebook', 'numpy', 'psutil', 'pylint', 'pytest', 'pytest-cov', 'requests', 'scipy', 'wget']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
4953,tpcp: Tiny Pipelines for Complex Problems - A set of framework independent helpers for algorithms development and evaluation,Python,"['Sphinx', 'absl-py', 'accessible-pygments', 'alabaster', 'alembic', 'astunparse', 'atomicwrites', 'attrs', 'babel', 'beautifulsoup4', 'certifi', 'charset-normalizer', 'colorama', 'colorlog', 'commonmark', 'contourpy', 'coverage', 'cycler', 'docutils', 'filelock']","['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
5028,ALNS: a Python implementation of the adaptive large neighbourhood search metaheuristic,Python,"['classifiers', 'codecov', 'docutils', 'include', 'ipython', 'jupyter', 'license', 'mabwiser', 'matplotlib', 'nbsphinx', 'networkx', 'numpy', 'numpydoc', 'optional', 'packages', 'pre-commit', 'pytest', 'pytest-cov', 'python', 'readme']","['Data Analytics', 'Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
4774,VIP: A Python package for high-contrast imaging,Python,"['alabaster', 'appnope', 'astropy', 'astropy-iers-data', 'asttokens', 'attrs', 'autopep8', 'babel', 'backports-tarfile', 'bandit', 'beautifulsoup4', 'bleach', 'bokeh', 'build', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'colorama']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
